uid,domainID,siteID,namedLocation,date,eventID,sampleDepth,waterTemp,specificConductance,dissolvedOxygen,dissolvedOxygenSaturation,dataQF,publicationDate,release
22cde9fc-a101-496f-97bf-e46107f5f573,D03,BARC,BARC.AOS.buoy.c0,2014-07-31T16:00Z,BARC.c0.20140731,3,31.8,56.6,,86.1,,20220107T003012Z,RELEASE-2022
dcf81b06-df51-429c-8e8a-072d3668d109,D03,BARC,BARC.AOS.buoy.c0,2014-07-31T16:00Z,BARC.c0.20140731,1,31.8,55.1,,84,,20220107T003012Z,RELEASE-2022
de5a1b92-312d-4b7d-b5a6-a40645a44450,D03,BARC,BARC.AOS.buoy.c0,2014-07-31T16:00Z,BARC.c0.20140731,2,31.9,56.4,,75.1,,20220107T003012Z,RELEASE-2022
24fedc5b-a887-49f5-98c3-c16bdef2c7fe,D03,BARC,BARC.AOS.buoy.c0,2014-07-31T16:00Z,BARC.c0.20140731,0.5,31.9,55.1,,80,,20220107T003012Z,RELEASE-2022
fbce061b-8739-453d-a57a-12da22881425,D03,BARC,BARC.AOS.buoy.c0,2014-07-31T16:00Z,BARC.c0.20140731,4.5,31.8,56.6,,90.1,,20220107T003012Z,RELEASE-2022
37f0595b-a7ff-46c5-909f-f8db8e15cb2c,D03,BARC,BARC.AOS.buoy.c0,2014-07-31T16:00Z,BARC.c0.20140731,2.5,31.9,56.6,,82.2,,20220107T003012Z,RELEASE-2022
cb7cd9b8-7ea9-4249-bf78-effa33da7d5b,D03,BARC,BARC.AOS.buoy.c0,2014-07-31T16:00Z,BARC.c0.20140731,1.5,31.9,55.4,,81,,20220107T003012Z,RELEASE-2022
791afc9f-9b95-4be6-9610-717e942cbc4f,D03,BARC,BARC.AOS.buoy.c0,2015-02-10T17:00Z,BARC.c0.20150210,3.5,15.4,59.8,,87.4,,20211222T043705Z,RELEASE-2022
bfc098d7-d310-49d4-a77a-c08cb1b3ef56,D03,BARC,BARC.AOS.buoy.c0,2015-02-10T17:00Z,BARC.c0.20150210,2,15.4,59.2,,89.2,,20211222T043705Z,RELEASE-2022
5c104c15-48dc-4eb7-8cd6-dcd77e260eea,D03,BARC,BARC.AOS.buoy.c0,2015-02-10T17:00Z,BARC.c0.20150210,4,15.4,59.9,,88.5,,20211222T043705Z,RELEASE-2022
b4c2f6f5-e199-452d-8188-4f32903d21e8,D03,BARC,BARC.AOS.buoy.c0,2015-02-10T17:00Z,BARC.c0.20150210,1.5,15.4,59,,91.8,,20211222T043705Z,RELEASE-2022
cf1518d7-7787-4993-ae5c-34ca41d5bdfd,D03,BARC,BARC.AOS.buoy.c0,2015-02-10T17:00Z,BARC.c0.20150210,3,15.4,59.6,,90.6,,20211222T043705Z,RELEASE-2022
52f57db7-ea95-4905-8888-f732acc7605f,D03,BARC,BARC.AOS.buoy.c0,2015-02-10T17:00Z,BARC.c0.20150210,1,15.4,59.2,,92,,20211222T043705Z,RELEASE-2022
5981dee8-44c2-4abd-97e2-f9f73dfe5bdc,D03,BARC,BARC.AOS.buoy.c0,2015-02-10T17:00Z,BARC.c0.20150210,4.5,15.4,60.5,,87.1,,20211222T043705Z,RELEASE-2022
7c035ad1-be7c-4b03-a3f3-ce986bccc78d,D03,BARC,BARC.AOS.buoy.c0,2015-02-10T17:00Z,BARC.c0.20150210,2.5,15.4,59.3,,88.6,,20211222T043705Z,RELEASE-2022
ed351b53-0b22-4733-9797-792edddf7296,D03,BARC,BARC.AOS.buoy.c0,2015-02-10T17:00Z,BARC.c0.20150210,0.5,15.3,59.4,,93.8,,20211222T043705Z,RELEASE-2022
035fc9ca-7acb-46d9-a06b-dbd1788b3c93,D03,BARC,BARC.AOS.buoy.c0,2015-04-07T16:00Z,BARC.c0.20150407,4,23.8,53.9,,91.6,,20211221T225714Z,RELEASE-2022
69ebd3fd-d4a2-4c77-86e0-bda6289c325a,D03,BARC,BARC.AOS.buoy.c0,2015-04-07T16:00Z,BARC.c0.20150407,4.5,23.8,53.6,,93.3,,20211221T225714Z,RELEASE-2022
