uid,domainID,siteID,namedLocation,collectDate,parentSampleID,parentSampleCode,isotopePOMRep2SampleCond,isotopePOMRep2SampleID,isotopePOMRep2SampleCode,isotopePOMSampleCond,isotopePOMSampleID,isotopePOMSampleCode,processedDateFilters,sampleVolumeFilteredPOMRep1,sampleVolumeFilteredPOMRep2,fieldDataQF,publicationDate,release
d66a097c-ad9f-4eda-b9b2-574dc903fc15,D05,CRAM,CRAM.AOS.buoy.c2,2017-10-16T16:16Z,CRAM.C2.20171016,,Sample condition ok,CRAM.C2.20171016.POM.2,,Sample condition ok,CRAM.C2.20171016.POM.1,,2017-10-16T21:48Z,150,150,,20211221T214906Z,RELEASE-2022
9120d3c3-db3b-44f5-a424-79787dd2150a,D05,CRAM,CRAM.AOS.littoral2,2017-11-07T16:10Z,CRAM.OT.20171107,,Sample condition ok,CRAM.OT.20171107.POM.2,,Sample condition ok,CRAM.OT.20171107.POM.1,,2017-11-07T19:56Z,250,250,,20211221T234113Z,RELEASE-2022
4b287f51-5aee-4141-8686-3c27464bcda5,D05,CRAM,CRAM.AOS.littoral1,2017-11-07T16:28Z,CRAM.IN.20171107,,Sample condition ok,CRAM.IN.20171107.POM.2,,Sample condition ok,CRAM.IN.20171107.POM.1,,2017-11-07T20:36Z,250,250,,20211221T234113Z,RELEASE-2022
ddb0a740-078d-4029-9425-f64c831580d5,D05,CRAM,CRAM.AOS.buoy.c0,2017-11-07T17:08Z,CRAM.C0.20171107,,Sample condition ok,CRAM.C0.20171107.POM.2,,Sample condition ok,CRAM.C0.20171107.POM.1,,2017-11-07T21:02Z,200,200,,20211221T234113Z,RELEASE-2022
c81ae29e-117a-4430-b0b4-25aeb1785e64,D05,CRAM,CRAM.AOS.buoy.c0,2018-02-13T18:28Z,CRAM.C0.20180213,,Sample condition ok,CRAM.C0.20180213.POM.2,,Sample condition ok,CRAM.C0.20180213.POM.1,,2018-02-13T20:13Z,300,300,,20211221T221332Z,RELEASE-2022
a814958a-67ea-411f-afa8-f98610c3db1f,D05,CRAM,CRAM.AOS.buoy.c0,2018-03-05T15:30Z,CRAM.C0.20180305,,Sample condition ok,CRAM.C0.20180305.POM.2,,Sample condition ok,CRAM.C0.20180305.POM.1,,2018-03-05T16:48Z,300,300,,20211221T230445Z,RELEASE-2022
e98a3551-792b-4ad5-8345-629c27f8295b,D05,CRAM,CRAM.AOS.buoy.c1,2018-05-07T15:38Z,CRAM.C1.20180507,,Sample condition ok,CRAM.C1.20180507.POM.2,A00000007819,Sample condition ok,CRAM.C1.20180507.POM.1,A00000007818,"",250,250,,20211222T005421Z,RELEASE-2022
ee409bd1-b9bb-459a-a53b-2044327e1aae,D05,CRAM,CRAM.AOS.buoy.c2,2018-05-07T16:29Z,CRAM.C2.20180507,,Sample condition ok,CRAM.C2.20180507.POM.2,A00000007825,Sample condition ok,CRAM.C2.20180507.POM.1,A00000007824,"",250,250,,20211222T005421Z,RELEASE-2022
fbd67c77-6b11-4178-ab28-951c5dafef9a,D05,CRAM,CRAM.AOS.buoy.c2,2018-05-22T15:44Z,CRAM.C2.20180522,,Sample condition ok,CRAM.C2.20180522.POM.2,A00000007677,Sample condition ok,CRAM.C2.20180522.POM.1,A00000007711,2018-05-22T18:10Z,250,250,,20211222T005421Z,RELEASE-2022
1bcaf830-db3e-4a54-a6e5-c7de1a078bcd,D05,CRAM,CRAM.AOS.buoy.c1,2018-05-22T15:45Z,CRAM.C1.20180522,,Sample condition ok,CRAM.C1.20180522.POM.2,A00000007728,Sample condition ok,CRAM.C1.20180522.POM.1,A00000007694,"",250,250,,20211222T005421Z,RELEASE-2022
