OrganizationFormalName,MonitoringLocationIdentifier,sampledate,lagos_sampledepth,"Nitrogen, NH4","Nitrogen, dissolved Kjeldahl","Nitrogen, total","Nitrogen, total Kjeldahl","Arsenic, dissolved","Arsenic, total","Phosphorus, soluble reactive orthophosphate","Phosphorus, total","Nitrogen, nitrite (NO2) + nitrate (NO3)","Carbon, dissolved organic","Carbon, total organic","Nitrogen, total dissolved","Selenium, dissolved","Selenium, total","Aluminum, dissolved","Aluminum, total","Mercury, total dissolved","Mercury, total"
USGS Washington Water Science Center,USGS-14234800,1979-06-05,6.096,NA,NA,NA,NA,NA,NA,29.3526,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Washington Water Science Center,USGS-14234800,1979-06-05,30.48,NA,NA,NA,NA,NA,NA,20,9.784199999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Washington Water Science Center,USGS-14234800,1979-06-05,60.96,NA,NA,NA,NA,NA,NA,20,9.784199999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS California Water Science Center,USGS-371108121591701,1979-06-05,5,NA,NA,NA,NA,NA,NA,50,19.568399999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS California Water Science Center,USGS-371157121591201,1979-06-05,15,NA,NA,NA,NA,NA,NA,70,19.568399999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS California Water Science Center,USGS-370000119393000,1979-06-27,14,NA,NA,NA,NA,NA,NA,9.784199999999998,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS California Water Science Center,USGS-370025119414500,1979-06-27,8,NA,NA,NA,NA,NA,NA,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Washington Water Science Center,USGS-14234800,1979-07-10,0.3048,NA,NA,NA,NA,NA,NA,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Washington Water Science Center,USGS-14234800,1979-07-10,6.096,NA,NA,NA,NA,NA,NA,29.3526,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Washington Water Science Center,USGS-14234800,1979-07-10,15.24,NA,NA,NA,NA,NA,NA,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Washington Water Science Center,USGS-14234800,1979-07-10,30.48,NA,NA,NA,NA,NA,NA,30,9.784199999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Washington Water Science Center,USGS-14234800,1979-07-10,60.96,NA,NA,NA,NA,NA,NA,30,9.784199999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Washington Water Science Center,USGS-14234800,1979-07-10,91.44,NA,NA,NA,NA,NA,NA,30,9.784199999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Washington Water Science Center,USGS-14237800,1979-07-10,0.3048,NA,NA,NA,NA,NA,NA,29.3526,9.784199999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Washington Water Science Center,USGS-14237800,1979-07-10,6.096,NA,NA,NA,NA,NA,NA,70,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Washington Water Science Center,USGS-14237800,1979-07-10,15.24,NA,NA,NA,NA,NA,NA,70,9.784199999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Washington Water Science Center,USGS-14237800,1979-07-10,30.48,NA,NA,NA,NA,NA,NA,50,9.784199999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Washington Water Science Center,USGS-14237800,1979-07-10,54.864000000000004,NA,NA,NA,NA,NA,NA,48.921,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Washington Water Science Center,USGS-12085000,1979-07-11,0.3048,NA,NA,NA,NA,NA,NA,30,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Washington Water Science Center,USGS-12085000,1979-07-11,15.24,NA,NA,NA,NA,NA,NA,29.3526,19.568399999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Washington Water Science Center,USGS-12085000,1979-07-11,30.48,NA,NA,NA,NA,NA,NA,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Washington Water Science Center,USGS-12085500,1979-07-11,6.096,NA,NA,NA,NA,NA,NA,9.784199999999998,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
