,NAMES,SITE_ID,LAT_DD,LON_DD
59,Beaver Pond$Beaver Pond$,NLA06608-0045,37.29448,-77.88563
60,Nolen Blue Hole$Nolen Blue Hole$,NLA06608-0048,36.78919,-89.17501
61,Nolen Blue Hole$Nolen Blue Hole$,NLA06608-0048,36.78912,-89.1751
62,$Clear Creek Reservoir$,NLA06608-0049,45.06257,-117.15147
63,Adder Pond$Adder Pond$,NLA06608-0050,43.44606,-71.80946
64,Lake Champlain$South Bay Lake Champlain$,NLA06608-0053,43.54476,-73.46221
65,Lake Champlain$South Bay Lake Champlain$,NLA06608-0053,43.55819,-73.43961
66,Lake Lee$Lake Lee$,NLA06608-0057,34.96519,-80.511678
67,Lake Lee$Lake Lee$,NLA06608-0057,34.9636,-80.512868
68,$Alamo$,NLA06608-0061,34.26278,-113.575282
69,$Alamo$,NLA06608-0061,34.26249,-113.575282
70,$(Unnamed Lake)$,NLA06608-0062,47.321315,-99.744443
71,$(Unnamed Lake)$,NLA06608-0062,47.32021,-99.74669
72,Fitzpatrick Lake$Fitzpatrick Lake$,NLA06608-0064,48.89371,-112.16885
73,Fitzpatrick Lake$Fitzpatrick Lake$,NLA06608-0064,48.89417,-112.16957
74,Sophie Lake$Sophie Lake$,NLA06608-0065,48.95823,-115.12296
75,Sophie Lake$Sophie Lake$,NLA06608-0065,48.95734,-115.12332
76,$Youghiogheny River Lake$,NLA06608-0066,39.7474,-79.39327
77,$Trout Lake$,NLA06608-0068,37.8249,-107.8849
78,$Trout Lake$,NLA06608-0068,37.82413,-107.88374
79,Horseshoe Lake$Horseshoe Lake$,NLA06608-0069,28.637529,-81.137041
80,Horseshoe Lake$Horseshoe Lake$,NLA06608-0069,28.637547,-81.137629
81,"Concordia, Lake$Lake Concordia$",NLA06608-0071,31.62992,-91.54424
82,"Concordia, Lake$Lake Concordia$",NLA06608-0071,31.63,-91.5431
83,$NRCS Site #6$,NLA06608-0072,32.237222,-98.406111
84,$NRCS Site #6$,NLA06608-0072,32.236944,-98.406111
85,Soda Lake$Soda Lake$,NLA06608-0073,39.52419,-118.88155
86,Soda Lake$Soda Lake$,NLA06608-0073,39.52273,-118.87939
87,$Smithville$,NLA06608-0076,39.40533,-94.53088
88,$Smithville$,NLA06608-0076,39.40531,-94.53208
89,Mount Hope Lake$Mount Hope Lake$,NLA06608-0077,40.927278,-74.533121
90,Mount Hope Lake$Mount Hope Lake$,NLA06608-0077,40.927178,-74.534021
91,$Unknown$,NLA06608-0078,48.17766,-100.29395
