"","NAMES","SITE_ID","LAT_DD","LON_DD","lagoslakeid"
"2017","1769063; Big Indian Creek Reservoir 14-B; Big Indian Creek Reservoir 14-B","NLA12_NE-158",40.16908467,-96.83069073,373372
"2018","1719700; Storey Lake; Storey Lake","NLA12_IL-103",40.98833771,-90.40342515,6422
"2019","NA; ; ","NLA12_MT-119",48.41240242,-110.0578148,321673
"2020","1442135; Jessen Lake; Jessen Lake","NLA12_UT-122",40.83133152,-110.0193773,451697
"2021","1361076; Lemon Reservoir; Lemon Reservoir","NLA12_TX-118",29.16088523,-95.32520155,425833
"2022","NA; ; ","NLA12_CA-181",37.17995179,-121.6910013,481541
"2023","173391; Sand Lake; Sand Lake","NLA12_CO-R07",40.14319362,-107.117692,452226
"2024","NA; ; ","NLA12_IN-126",39.03667912,-85.68019805,75097
"2025","1859349; Soil Conservation Service Site 121 Reservoir; Soil Conservation Service Site 121 Reservoir","NLA12_TX-202",32.05630851,-96.73178299,416561
"2026","NA; ; ","NLA12_OK-133",36.38726912,-96.8232291,380921
"2027","1447892; Washington Lake; Washington Lake","NLA12_UT-324",40.67460225,-110.9706993,456254
"2028","575526; Skitacook Lake; Skitacook Lake","NLA12_ME-135",46.03358616,-68.06506684,90380
"2029","771517; Fort Peck Trout Pond; Fort Peck Trout Pond","NLA12_MT-161",48.05490061,-106.4419746,323994
"2030","1427672; East Canyon Reservoir; East Canyon Reservoir","NLA12_UT-325",40.9060993,-111.5911941,456172
"2031","1526720; Summit Lake; Summit Lake","NLA12_WA-115",48.95919311,-118.1271161,462169
"2032","NA; ; ","NLA12_OK-286",36.39702172,-97.27510708,381454
"2033","1445499; Sheep Creek Lake; Sheep Creek Lake","NLA12_UT-229",40.88926752,-109.8461084,450862
"2034","647210; Lost Lake; Lost Lake","NLA12_MN-181",47.24386707,-95.13155437,110361
"2035","NA; ; ","NLA12_MN-180",45.85610163,-95.56327026,83682
"2036","268256; Three Lakes; Three Lakes","NLA12_CA-212",39.96955481,-121.2222947,475761
"2037","1061137; Lake Kelso; Lake Kelso","NLA12_OH-R03",41.44474462,-81.17478031,109195
"2038","662755; Waymier Lake; Waymier Lake","NLA12_MN-162",47.55974319,-93.03255611,911
"2039","655204; Ball Club Lake; Ball Club Lake","NLA12_MN-170",47.91117443,-90.48657814,2751
"2040","570232; Long Lake; Long Lake","NLA12_ME-108",47.17249324,-68.24525882,7585
"2041","451796; Echo Lake; Echo Lake","NLA12_IN-162",39.08573146,-86.05904543,266527
"2042","446677; Heritage Lake; Heritage Lake","NLA12_IN-112",39.72076713,-86.72022287,62699
"2043","NA; ; ","NLA12_IN-131",39.45359873,-87.19347607,268195
"2044","1855387; Lake Jacksonville; Lake Jacksonville","NLA12_TX-137",31.91034371,-95.30185594,415369
"2045","180842; Firestone Lake; Firestone Lake","NLA12_CO-127",40.12169493,-104.9459108,360400
"2046","NA; ; ","NLA12_MO-120",38.93934838,-91.28285684,NA
"2047","1184549; Quemahoning Reservoir; Quemahoning Reservoir","NLA12_PA-119",40.15803635,-78.97299781,7269
"2048","1078434; Beaver Creek Upground Reservoir; Beaver Creek Upground Reservoir","NLA12_OH-112",41.23823423,-83.02039327,3695
"2049","264764; Pine Lake; Pine Lake","NLA12_CA-138",40.51311798,-121.1651745,482631
"2050","1566081; Harpt Lake; Harpt Lake","NLA12_WI-133",44.29583634,-87.73414988,NA
"2051","1565149; Forestville Flowage; Forestville Flowage","NLA12_WI-132",44.69847871,-87.49992572,4604
"2052","1574134; Silver Lake; Silver Lake","NLA12_WI-181",44.07085734,-87.73427579,4355
"2053","1565973; Half Moon Lake; Half Moon Lake","NLA12_WI-135",46.55919455,-91.39356434,4298
"2054","1561604; Berry Lake; Berry Lake","NLA12_WI-111",44.8891413,-88.47492666,4785
"2055","772077; Halfpint Reservoir; Halfpint Reservoir","NLA12_MT-177",47.87668819,-107.1252315,322383
"2056","615015; Dicks Pond; Dicks Pond","NLA12_MA-101",41.75998432,-70.65598838,126901
"2057","617920; Tully Lake; Tully Lake","NLA12_MA-105",42.64690672,-72.21849668,127944
"2058","NA; ; ","NLA12_IN-183",38.73981144,-86.99601089,75113
"2059","1506567; McGinnis Lake; McGinnis Lake","NLA12_WA-124",48.03662397,-118.8932554,462149
"2060","604410; Besse Bog Reservoir; Besse Bog Reservoir","NLA12_MA-111",41.81248656,-70.63822658,90442
"2061","1525236; Round Lake; Round Lake","NLA12_WA-120",48.29227506,-118.32282,462390
"2062","NA; ; ","NLA12_UT-290",40.8739496,-109.1483089,NA
"2063","NA; ; ","NLA12_MA-108",42.02607407,-70.88609036,43708
"2064","NA; ; ","NLA12_WY-125",43.16510906,-109.8031724,451522
"2065","1092954; Fort Cobb Reservoir; Fort Cobb Reservoir","NLA12_OK-102",35.19672054,-98.48298246,395553
"2066","NA; ; ","NLA12_OK-285",34.67080796,-96.65199926,403414
"2067","218174; Lake Alpine; Lake Alpine","NLA12_CA-107",38.47629345,-119.9996916,478580
"2068","NA; ; Trussum Pond ( Moores Pond)","NLA12_DE-121",38.51997073,-75.51111717,147882
"2069","NA; ; ","NLA12_WV-105",38.36552067,-81.25277547,259537
"2070","790855; Sophie Lake; Sophie Lake","NLA12_MT-105",48.96435342,-115.1157742,459837
"2071","178708; Boulder Reservoir; Boulder Reservoir","NLA12_CO-111",40.0798358,-105.2171741,361292
"2072","NA; ; ","NLA12_OR-126",44.83363547,-121.8137759,469265
"2073","NA; ; ","NLA12_OR-173",44.77856094,-121.7858008,467096
"2074","1857949; Soil Conservation Service Site 19 Reservoir; Soil Conservation Service Site 19 Reservoir","NLA12_TX-159",30.00697302,-96.70980987,438609
"2075","1750824; Fourche Maline Creek Site 4 Reservoir; Fourche Maline Creek Site 4 Reservoir","NLA12_OK-311",34.97670154,-95.3476266,393187
"2076","262048; June Lake; June Lake","NLA12_CA-104",37.78873902,-119.0738863,483184
"2077","793220; Whitefish Lake; Whitefish Lake","NLA12_MT-111",48.45099337,-114.3814277,458322
"2078","1077883; Mystic Lake; Mystic Lake","NLA12_OH-122",39.66169251,-84.64620693,104100
"2079","570097; Little Watchic Pond; Little Watchic Pond","NLA12_ME-137",43.76837527,-70.60856237,20496
"2080","444530; Syracuse Lake; Syracuse Lake","NLA12_IN-196",41.42672638,-85.73792608,3991
"2081","612499; Norton Reservoir; Norton Reservoir","NLA12_MA-102",41.98955896,-71.20506636,73599
"2082","1509191; Upper Goose Lake; Upper Goose Lake","NLA12_WA-116",46.94126809,-119.27853,460912
"2083","1506804; Moses Lake; Moses Lake","NLA12_WA-104",47.07694132,-119.324822,461718
"2084","868138; Long Pond; Long Pond","NLA12_MA-104",42.69394175,-71.37031557,6141
"2085","NA; ; ","NLA12_IL-111",38.75927501,-88.067551,7034
"2086","205357; Beardsley Pond; Beardsley Pond","NLA12_CT-105",41.89704559,-73.44712926,6590
"2087","NA; ; ","NLA12_TN-106",35.12132203,-88.50247061,279632
"2088","1437887; Oak Creek Reservoir; Oak Creek Reservoir","NLA12_UT-264",38.07061898,-111.3751268,453117
"2089","NA; ; ","NLA12_CO-103",40.43632395,-105.0336532,361293
"2090","1428805; Hoop Lake; Hoop Lake","NLA12_UT-343",40.9225409,-110.1185889,451688
"2091","1430433; Montes Creek Reservoir; Montes Creek Reservoir","NLA12_UT-359",40.35063701,-109.941191,452700
"2092","1381674; Coffee Mill Lake; Coffee Mill Lake","NLA12_TX-R08",33.73234967,-95.99468577,408125
"2093","NA; ; ","NLA12_IN-193",39.89200512,-86.11552511,114416
"2094","874605; Bearfort Waters; Bearfort Waters","NLA12_NJ-105",41.14260568,-74.40940536,2631
"2095","440748; Otter Lake; Otter Lake","NLA12_IN-199",41.63635595,-85.16723461,2133
"2096","1510452; Myron, Lake; Myron, Lake","NLA12_WA-159",46.62199741,-120.5560269,462794
"2097","1306659; Lake Lajoice; Lake Lajoice","NLA12_TN-122",35.34673245,-88.88488635,278927
"2098","NA; ; Wappapello Reservoir","NLA12_MO-106",36.91927707,-90.31725137,6303
"2099","NA; ; ","NLA12_MA-106",42.25891476,-71.93931,123533
"2100","NA; ; ","NLA12_IL-105",39.41011547,-87.80523888,7005
"2101","609038; Lake Lorraine; Lake Lorraine","NLA12_MA-109",42.14480404,-72.5129138,40
"2102","881604; Lake Washington; Lake Washington","NLA12_NJ-106",41.03000369,-74.30117131,862
"2103","214714; Swiggetts Pond; Swiggetts Pond","NLA12_DE-107",38.86695206,-75.38016332,141821
"2104","1601192; Luce Reservoir; Luce Reservoir","NLA12_WY-137",44.78132376,-109.2547289,325988
"2105","200375; New Thomas Reservoir; New Thomas Reservoir","NLA12_CO-104",40.22358076,-104.9472807,359518
"2106","968419; Van Keuren Lake; Van Keuren Lake","NLA12_NY-0112",42.32527988,-77.17720022,129908
"2107","571913; Mud Pond; Mud Pond","NLA12_ME-113",45.28593111,-68.89350155,95465
"2108","608463; Norwich Pond; Norwich Pond","NLA12_MA-110",42.30567112,-72.83293844,96546
"2109","1292729; Marrowbone Lake; Marrowbone Lake","NLA12_TN-119",36.30304042,-86.91714013,270107
"2110","617962; Buckley Dunton Lake; Buckley Dunton Lake","NLA12_MA-103",42.31302099,-73.13713927,42647
"2111","1279038; Burgess Falls Lake; Burgess Falls Lake","NLA12_TN-103",36.04444348,-85.58629482,269036
"2112","NA; ; ","NLA12_SD-146",45.74128962,-97.26709757,350971
"2113","1516055; Baker Lake; Baker Lake","NLA12_WA-151",48.687922,-121.6679362,471746
"2114","1588609; Fontenelle Reservoir; Fontenelle Reservoir","NLA12_WY-147",42.04937237,-110.0809239,450462
"2115","NA; ; ","NLA12_OR-163",45.03695777,-122.265382,468093
"2116","NA; ; ","NLA12_OR-158",45.56535236,-122.5630011,468856
"2117","1042826; Lucys Pond; Lucys Pond","NLA12_OH-105",40.49553571,-83.89988027,3986
"2118","769577; Canyon Lake; Canyon Lake","NLA12_MT-162",45.0394762,-109.7724842,325554
"2119","1078020; Vandergrift Lake; Vandergrift Lake","NLA12_OH-113",40.76004634,-81.10117086,103024
"2120","NA; ; ","NLA12_IN-135",38.30624409,-87.31604402,10600
"2121","NA; ; ","NLA12_TX-232",33.17048801,-95.09123194,402579
"2122","210190; Riga Lake; Riga Lake","NLA12_NY-0103",42.02259255,-73.48550577,6729
"2123","36238; Willow Creek Reservoir; Willow Creek Reservoir","NLA12_AZ-102",34.60431345,-112.4386225,454810
"2124","NA; ; ","NLA12_IN-155",39.05599546,-87.14618915,39899
"2125","NA; ; ","NLA12_IN-201",39.17053772,-87.291179,68880
"2126","NA; ; ","NLA12_TX-161",29.61660959,-95.64840829,425150
"2127","1033392; Lake George; Lake George","NLA12_ND-R17",46.74569439,-99.49689806,342609
"2128","1032812; Lake Williams; Lake Williams","NLA12_ND-R18",47.12915154,-99.62037746,342433
"2129","1327073; South Holston Lake; South Holston Lake","NLA12_TN-104",36.64153852,-81.93648268,272733
"2130","NA; ; ","NLA12_TN-R01",35.10675102,-84.58794096,273531
"2131","NA; ; ","NLA12_TX-235",31.9239003,-94.08029271,410784
"2132","881025; Surprise Lake; Surprise Lake","NLA12_NJ-R01",41.1853168,-74.34725508,92528
"2133","879003; Orange Reservoir; Orange Reservoir","NLA12_NJ-103",40.76302852,-74.28588089,87361
"2134","NA; ; ","NLA12_IN-202",38.4641338,-85.80769688,80429
"2135","NA; ; ","NLA12_NJ-108",39.84947938,-74.78728568,1420
"2136","1376085; Sheldon Reservoir; Sheldon Reservoir","NLA12_TX-129",29.86638372,-95.17138389,424568
