combined_name,depths,no_depths,proport_depth,depth_75,sd_depth
St.  Johns Water Management District (Florida) NA,167339,1303,0.77,0.5,0.61
St. Croix Chippewa Indians of Wisconsin NA,1567,118,7,0.6,1.41
Standing Rock Sioux Tribe NA,2,33,94.29,0.4,0
Standley Lake Watershed Group (Volunteer) NA,8,39,82.98,0,0
State of Oregon Dept. of Environmental Quality NA,6228,1600,20.44,2.5,10.02
Stockbridge_Munsee Community NA,500,82,14.09,1.5,1.76
STOCKBRIDGE-MUNSEE COMMUNITY (Wisconson) NA,563,40,6.63,4.8,2.89
TDEC Division of Water Resources NA,211,5825,96.5,0,0
Tennessee Department of Environment and Conservation NA,0,388,100,NA,NA
Texas Commission on Environmental Quality NA,19871,1340,6.32,9.4,6.15
The Choctaw Nation of Oklahoma NA,1044,106,9.22,1,0.06
The Seminole Nation of Oklahoma SNEPO_WQX,0,202,100,NA,NA
"Three Affiliated Tribes: Mandan, Hidatsa, and Arikara Nation NA",0,1238,100,NA,NA
Turtle Mountain Environmental Office NA,3051,555,15.39,1.1,19.5
"U.S. Army Corps of Engineers, Seattle District Water Management Section NA",0,280,100,NA,NA
"Univ. of Missouri, Columbia NA",5114,36379,87.68,0,2.48
UNIVERSITY OF NEW HAMPSHIRE NA,3630,1277,26.02,6.5,4.94
USGS Alabama Water Science Center NA,66,74,52.86,9.1,4.77
USGS Alabama Water Science Center U.S. Geological Survey-Water Resources Discipline,1960,3657,65.11,1.5,1.49
"USGS Alabama Water Science Center USGS-Atlanta Central Laboratory, GA",0,53,100,NA,NA
USGS Arizona Water Science Center NA,0,9,100,NA,NA
USGS Arizona Water Science Center Organization other than U.S. Geological Survey,0,20,100,NA,NA
USGS Arizona Water Science Center U.S. Geological Survey-Water Resources Discipline,646,134,17.18,15,11.03
USGS Arkansas Water Science Center Arkansas Department of Pollution Control and Ecology,6,487,98.78,30.5,0
USGS Arkansas Water Science Center NA,18213,48,0.26,5.2,9.71
USGS Arkansas Water Science Center U.S. Geological Survey,670,15,2.19,6.1,8.3
USGS Arkansas Water Science Center U.S. Geological Survey-Water Resources Discipline,19824,521,2.56,7.3,9.53
"USGS Arkansas Water Science Center USGS-District Water-Quality Lab, Little Rock, Arkansas",55577,296,0.53,8.5,10.31
"USGS California Water Science Center Alameda Co. Flood Control & Water Conser. Dist, Zone 7, CA",11,18,62.07,0.3,0
"USGS California Water Science Center Alameda Co. Flood Control and Water Conservation Dist., CA",1829,8,0.44,1.4,0.79
"USGS California Water Science Center Alameda County Water District, CA",0,457,100,NA,NA
"USGS California Water Science Center East Bay Regional Park District, CA",0,18,100,NA,NA
USGS California Water Science Center NA,4830,525,9.8,11,11.66
USGS California Water Science Center Other:Not valid for new data entry,0,24,100,NA,NA
USGS California Water Science Center Private Laboratory,0,71,100,NA,NA
USGS California Water Science Center U.S. Geological Survey,0,8,100,NA,NA
USGS California Water Science Center U.S. Geological Survey-Water Resources Discipline,7974,2282,22.25,10,9.26
USGS California Water Science Center U.S. National Park Service,0,827,100,NA,NA
USGS California Water Science Center USGS - California Water Science Center,37,52,58.43,21.6,10.47
"USGS California Water Science Center USGS-National Water Quality Lab, Denver, CO",13,47,78.33,0.2,0
"USGS Colorado Water Science Center City of Arvada, CO",0,187,100,NA,NA
USGS Colorado Water Science Center Colorado State Health Department Laboratory,531,22,3.98,3,3.46
USGS Colorado Water Science Center Department of the Interior,155,4,2.52,11.6,8.48
"USGS Colorado Water Science Center Mountain Studies Institute, Silverton, CO",95,240,71.64,0.2,0
USGS Colorado Water Science Center NA,1811,51,2.74,0.5,13.99
USGS Colorado Water Science Center Organization other than U.S. Geological Survey,301,900,74.94,1,0.37
USGS Colorado Water Science Center U.S. Geological Survey,713,4,0.56,30,20.3
USGS Colorado Water Science Center U.S. Geological Survey-Biological Resources Discipline,0,4206,100,NA,NA
USGS Colorado Water Science Center U.S. Geological Survey-Water Resources Discipline,62440,9561,13.28,8.5,13.49
USGS Colorado Water Science Center U.S. National Park Service,449,85,15.92,1,0.27
