SITE_ID,VISIT_NO,INDEX_LAT_DD,INDEX_LON_DD,UID
NLA06608-0648,1,42.26692,-99.24557,NA
NLA06608-0649,1,38.47703,-119.99901,NA
NLA06608-0650,1,44.65147,-111.40522,NA
NLA06608-0651,1,33.46999,-86.64647,NA
NLA06608-0654,1,45.986944,-89.350278,NA
NLA06608-0657,1,46.16891,-68.99674,NA
NLA06608-0658,1,44.02131,-124.07939,NA
NLA06608-0659,1,48.18666,-98.06021,NA
NLA06608-0660,1,39.7275,-86.219444,NA
NLA06608-0661,1,41.559521,-75.709357,NA
NLA06608-0662,1,45.07871,-71.34666,NA
NLA06608-0663,1,44.92871,-97.44171,NA
NLA06608-0665,1,35.05627,-79.20686,NA
NLA06608-0671,1,40.690895,-110.384465,NA
NLA06608-0672,1,38.70285,-90.08755,NA
NLA06608-0674,1,42.541291,-72.955895,NA
NLA06608-0677,1,42.7715,-118.44643,NA
NLA06608-0678,1,43.95705,-121.78426,NA
NLA06608-0679,1,44.90727,-93.24226,NA
NLA06608-0681,1,38.82184,-80.59088,NA
NLA06608-0686,1,45.99222,-95.6881,NA
NLA06608-0687,1,38.99624,-108.05119,NA
NLA06608-0690,1,41.993333,-71.595,NA
NLA06608-0690,2,41.992388,-71.595806,NA
NLA06608-0692,1,40.67318,-99.05376,NA
NLA06608-0693,1,37.151057,-119.50668,NA
NLA06608-0696,1,34.94592,-97.47583,NA
NLA06608-0707,1,46.89341,-99.41194,NA
NLA06608-0709,1,28.866506,-81.682184,NA
NLA06608-0710,1,41.7605,-70.65673,NA
NLA06608-0711,1,30.73488,-93.09981,NA
NLA06608-0712,1,32.02876,-97.62441,NA
NLA06608-0713,1,39.40273,-120.09779,NA
NLA06608-0715,1,40.2166,-105.3728,NA
NLA06608-0717,1,39.17421,-75.52965,NA
NLA06608-0718,1,46.4778,-103.21297,NA
NLA06608-0720,1,39.80416,-99.93774,NA
NLA06608-0721,1,46.498638,-122.405086,NA
NLA06608-0723,1,42.91971,-102.0374,NA
NLA06608-0724,1,39.195,-85.991111,NA
NLA06608-0726,1,43.836111,-71.095,NA
NLA06608-0727,1,45.63634,-97.34223,NA
NLA06608-0731,1,41.338889,-85.606111,NA
NLA06608-0733,1,37.29947,-115.12642,NA
NLA06608-0734,1,47.132055,-88.312896,NA
NLA06608-0738,1,43.18092,-72.0657,NA
NLA06608-0743,1,45.29316,-93.84553,NA
NLA06608-0744,1,37.50731,-96.23015,NA
NLA06608-0749,1,38.21799,-77.66867,NA
NLA06608-0751,1,35.098115,-84.605903,NA
NLA06608-0753,1,42.34549,-79.31806,NA
NLA06608-0754,1,42.015,-71.768333,NA
NLA06608-0755,1,45.17164,-100.06395,NA
NLA06608-0756,1,34.51999,-97.81643,NA
NLA06608-0759,1,43.52324,-94.56944,NA
NLA06608-0761,1,40.76176,-74.285302,NA
NLA06608-0762,1,47.61478,-100.83143,NA
