lagoslakeid,source_sample_siteid,sample_date,sample_depth_m,temp_degc,do_mgl,ph,spcond_uscm,source_value_qualifiercode,source_comments,profile
360550,NLA12_CO-119,18-Jul-12,24,4.7,6.2,6.9,14,NA,NA,integrated
360550,NLA12_CO-119,18-Jul-12,19,4.9,7,7.2,12,NA,NA,integrated
360550,NLA12_CO-119,18-Jul-12,9,6.3,7.7,7.5,11,NA,NA,integrated
360550,NLA12_CO-119,18-Jul-12,3,9.1,6.9,7.6,10,NA,NA,integrated
360550,NLA12_CO-119,18-Jul-12,18,4.9,7,7.2,12,NA,NA,integrated
360550,NLA12_CO-119,18-Jul-12,16,5.1,7.3,7.3,11,NA,NA,integrated
360550,NLA12_CO-119,18-Jul-12,NA,10,NA,7,11,NA,NA,integrated
360550,NLA12_CO-119,18-Jul-12,NA,9,NA,6.9,10,NA,NA,integrated
360550,NLA12_CO-119,18-Jul-12,30,4.7,5,6.6,13,NA,NA,integrated
360550,NLA12_CO-119,18-Jul-12,22,4.8,6.8,7.1,12,NA,NA,integrated
360550,NLA12_CO-119,18-Jul-12,8,6.7,7.6,7.5,11,NA,NA,integrated
360550,NLA12_CO-119,18-Jul-12,7,7.2,7.6,7.6,11,NA,NA,integrated
360550,NLA12_CO-119,18-Jul-12,6,7.8,7.4,7.5,11,NA,NA,integrated
360550,NLA12_CO-119,18-Jul-12,10,6,7.7,7.5,11,NA,NA,integrated
360550,NLA12_CO-119,18-Jul-12,NA,9.6,NA,7,10,NA,NA,integrated
360550,NLA12_CO-119,18-Jul-12,11,5.7,7.8,7.5,11,NA,NA,integrated
360550,NLA12_CO-119,18-Jul-12,2,9.6,6.7,7,10,NA,NA,integrated
360550,NLA12_CO-119,18-Jul-12,28,4.7,5.1,6.6,13,NA,NA,integrated
360550,NLA12_CO-119,18-Jul-12,14,5.2,7.6,7.4,11,NA,NA,integrated
360550,NLA12_CO-119,18-Jul-12,NA,9.7,NA,7,10,NA,NA,integrated
360550,NLA12_CO-119,18-Jul-12,4,8.7,7,7.6,10,NA,NA,integrated
