State,CharacteristicName,n
GA,"Methylmercury, dissolved",NA
GA,Microcystin,NA
GA,"Nitrogen, NH4",1584
GA,"Nitrogen, nitrite (NO2)",151
GA,"Nitrogen, nitrite (NO2) + nitrate (NO3)",4676
GA,"Nitrogen, total",258
GA,"Nitrogen, total dissolved",99
GA,"Nitrogen, total dissolved Kjeldahl",109
GA,"Nitrogen, total Kjeldahl",5578
GA,"Oxygen, dissolved",111460
GA,"pH, equilibrated",113714
GA,"Phosphorus, soluable reactive orthophosphate",1037
GA,"Phosphorus, total",5566
GA,"Phosphorus, total dissolved",NA
GA,Potassium,42
GA,Salinity,2
GA,Secchi,5964
GA,"Selenium, dissolved",3
GA,"Selenium, total",NA
GA,"Silica, dissolved",140
GA,Sodium,46
GA,"Solids, total suspended",141
GA,"Sulfate, dissolved",400
GA,Turbidity,10155
IA,Alkalinity,5069
IA,"Aluminum, dissolved",NA
IA,"Aluminum, total",NA
IA,ANC,NA
IA,"Arsenic, dissolved",1
IA,"Arsenic, total",7
IA,"Atrazine, dissolved",44
IA,"Calcium, dissolved",32
IA,"Carbon, dissolved organic",6
IA,"Carbon, total inorganic",NA
IA,"Carbon, total organic",1751
IA,"Chloride, dissolved",26
IA,Chlorophyll a,8575
IA,"Color, apparent",NA
IA,"Color, true",11
IA,Conductivity,8841
IA,Depth,6472
IA,E. coli,2883
IA,E. coli-CFU,9
IA,E. coli-MPN,6300
IA,"Magnesium, dissolved",32
IA,"Mercury, dissolved",NA
IA,"Mercury, total",NA
IA,"Methylmercury, dissolved",NA
IA,Microcystin,4169
IA,"Nitrogen, NH4",1501
IA,"Nitrogen, nitrite (NO2)",82
IA,"Nitrogen, nitrite (NO2) + nitrate (NO3)",900
IA,"Nitrogen, total",NA
IA,"Nitrogen, total dissolved",NA
IA,"Nitrogen, total dissolved Kjeldahl",142
IA,"Nitrogen, total Kjeldahl",4984
IA,"Oxygen, dissolved",15161
IA,"pH, equilibrated",14335
IA,"Phosphorus, soluable reactive orthophosphate",2857
IA,"Phosphorus, total",7911
IA,"Phosphorus, total dissolved",NA
IA,Potassium,26
IA,Salinity,29
IA,Secchi,7751
IA,"Selenium, dissolved",NA
IA,"Selenium, total",NA
IA,"Silica, dissolved",2874
IA,Sodium,32
IA,"Solids, total suspended",4272
IA,"Sulfate, dissolved",26
IA,Turbidity,13763
ID,Alkalinity,928
ID,"Aluminum, dissolved",20
ID,"Aluminum, total",20
ID,ANC,NA
ID,"Arsenic, dissolved",394
ID,"Arsenic, total",583
ID,"Atrazine, dissolved",5
ID,"Calcium, dissolved",1847
ID,"Carbon, dissolved organic",648
ID,"Carbon, total inorganic",39
ID,"Carbon, total organic",2381
ID,"Chloride, dissolved",857
ID,Chlorophyll a,2963
ID,"Color, apparent",NA
ID,"Color, true",47
ID,Conductivity,37076
ID,Depth,867
ID,E. coli,280
ID,E. coli-CFU,2
ID,E. coli-MPN,NA
ID,"Magnesium, dissolved",1837
ID,"Mercury, dissolved",34
ID,"Mercury, total",123
ID,"Methylmercury, dissolved",11
ID,Microcystin,NA
ID,"Nitrogen, NH4",2250
ID,"Nitrogen, nitrite (NO2)",792
ID,"Nitrogen, nitrite (NO2) + nitrate (NO3)",3304
ID,"Nitrogen, total",901
ID,"Nitrogen, total dissolved",25
ID,"Nitrogen, total dissolved Kjeldahl",21
ID,"Nitrogen, total Kjeldahl",3280
ID,"Oxygen, dissolved",38183
ID,"pH, equilibrated",35958
ID,"Phosphorus, soluable reactive orthophosphate",3774
ID,"Phosphorus, total",4067
ID,"Phosphorus, total dissolved",NA
ID,Potassium,1493
ID,Salinity,12
ID,Secchi,2000
ID,"Selenium, dissolved",13
ID,"Selenium, total",134
ID,"Silica, dissolved",1431
ID,Sodium,1552
ID,"Solids, total suspended",1786
ID,"Sulfate, dissolved",818
ID,Turbidity,8998
IN,Alkalinity,49
IN,"Aluminum, dissolved",26
IN,"Aluminum, total",NA
IN,ANC,NA
IN,"Arsenic, dissolved",16
IN,"Arsenic, total",4
IN,"Atrazine, dissolved",NA
IN,"Calcium, dissolved",52
IN,"Carbon, dissolved organic",64
IN,"Carbon, total inorganic",3
IN,"Carbon, total organic",15
IN,"Chloride, dissolved",54
IN,Chlorophyll a,143
IN,"Color, apparent",NA
IN,"Color, true",NA
IN,Conductivity,234
IN,Depth,NA
IN,E. coli,NA
IN,E. coli-CFU,NA
IN,E. coli-MPN,NA
IN,"Magnesium, dissolved",52
IN,"Mercury, dissolved",42
IN,"Mercury, total",1
IN,"Methylmercury, dissolved",16
IN,Microcystin,NA
IN,"Nitrogen, NH4",44
IN,"Nitrogen, nitrite (NO2)",43
IN,"Nitrogen, nitrite (NO2) + nitrate (NO3)",48
IN,"Nitrogen, total",43
IN,"Nitrogen, total dissolved",2
IN,"Nitrogen, total dissolved Kjeldahl",15
IN,"Nitrogen, total Kjeldahl",21
IN,"Oxygen, dissolved",238
IN,"pH, equilibrated",243
IN,"Phosphorus, soluable reactive orthophosphate",34
IN,"Phosphorus, total",62
IN,"Phosphorus, total dissolved",NA
IN,Potassium,52
IN,Salinity,NA
IN,Secchi,1059
IN,"Selenium, dissolved",1
IN,"Selenium, total",NA
IN,"Silica, dissolved",43
IN,Sodium,52
IN,"Solids, total suspended",4
IN,"Sulfate, dissolved",92
IN,Turbidity,11
KS,Alkalinity,2177
KS,"Aluminum, dissolved",10
KS,"Aluminum, total",1174
KS,ANC,NA
KS,"Arsenic, dissolved",12
KS,"Arsenic, total",52
KS,"Atrazine, dissolved",70
KS,"Calcium, dissolved",417
KS,"Carbon, dissolved organic",179
KS,"Carbon, total inorganic",NA
KS,"Carbon, total organic",1369
KS,"Chloride, dissolved",440
