SITE_ID,sampledate,LAT_DD,LON_DD,Alkalinity,"Carbon, dissolved organic",Chlorophyll a,Conductivity,"Nitrogen, total","Phosphorus, total",Turbidity,"Aluminum, dissolved","Calcium, dissolved","Chloride, dissolved","Color, true","Magnesium, dissolved",Microcystin,"Nitrogen, NH4","Nitrogen, nitrite (NO2)","Nitrogen, nitrite (NO2) + nitrate (NO3)","pH, field or closed",Potassium,"Silica, dissolved",Sodium,"Sulfate, dissolved","Solids, total suspended","Carbon, total organic","Atrazine, dissolved","Nitrogen, total Kjeldahl"
NLA06608-0076,2007-07-27,39.41441295,-94.49793062,1996.6,5.1,10.88,254,436,24,3.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0076,2007-09-04,39.41441295,-94.49793062,2037.6,5.5,28.8,254,710,32,7.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0077,2007-09-13,40.92704692,-74.53388264,1740.9,6.96,94.61,322,1630,151,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0077,2007-09-08,40.92704692,-74.53388264,1711,7.25,67.97,308,1461,116,17.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0078,2007-08-21,48.17781123,-100.2942095,25412.5,49.57,13.25,2156,4294,108,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0078,2007-08-08,48.17781123,-100.2942095,24839.3,49.81,10.02,2086,4747,136,20.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0079,2007-07-12,39.98585506,-107.2317809,837.3,1.8,2.35,84,97,4,0.278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0079,2007-08-16,39.98585506,-107.2317809,870.1,1.69,1.4,88,108,7,0.474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0080,2007-09-10,34.1200351,-91.56105203,2059.6,5.34,62.64,407,1047,113,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0080,2007-09-09,34.1200351,-91.56105203,2076.2,5.41,58.46,411,956,100,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0081,2007-07-03,48.22612028,-122.1241675,507.9,9.05,6.66,62,741,22,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0081,2007-09-19,48.22612028,-122.1241675,504.7,6.93,62.02,65,826,23,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0083,2007-06-13,45.95096444,-99.13645049,15445.3,38.85,3.74,4281,3925,50,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0083,2007-08-09,45.95096444,-99.13645049,15955.7,43.64,6.08,4698,4009,60,5.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0085,2007-07-10,43.46045448,-116.1414317,1840.2,10.64,4.04,214,1581,417,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0085,2007-08-20,43.46045448,-116.1414317,2197,12.15,45.2,237,1518,395,72.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0086,2007-08-02,45.61657075,-122.4260347,908.2,2.56,18.24,110,288,20,4.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0086,2007-09-20,45.61657075,-122.4260347,1019,2.78,52.56,125,865,32,8.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0089,2007-06-17,35.7733743,-81.54174586,333.3,1.9,11.36,63,333,35,3.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0089,2007-07-17,35.7733743,-81.54174586,346.4,2.09,31.2,69,478,32,4.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0090,2007-06-26,42.93075473,-109.6534609,271.6,5.46,4.36,34,253,11,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0090,2007-07-25,42.93075473,-109.6534609,273.7,5.78,1.54,35,350,15,0.597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0091,2007-07-10,41.36944118,-87.43213825,1585.7,7.27,118.8,326,2021,170,35.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0091,2007-08-13,41.36944118,-87.43213825,1568.2,7.67,131.4,329,2411,164,40.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0099,2007-07-03,43.09951588,-88.45255303,4064,5.69,4.6,558,601,6,4.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0099,2007-09-05,43.09951588,-88.45255303,3684.1,5.92,2.66,551,623,11,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0101,2007-08-21,42.02167966,-73.48227989,1.4,1.18,0.7,16,63,1,0.401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0102,2007-08-03,44.50713663,-70.72328312,71,3.67,1.2,20,137,1,0.515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0104,2007-06-22,37.65529355,-98.26265148,2885.6,6.57,38.2,309,1076,102,27.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0104,2007-07-24,37.65529355,-98.26265148,2813.6,6.16,36.26,303,1101,90,20.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLA06608-0105,2007-07-05,38.2350209,-112.2015025,4482,3.17,5.98,486,339,45,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
