"SITE_ID","VISIT_NO","NAMES","lagoslakeid","INDEX_LAT","INDEX_LON"
"NLA06608-0334",1,"Buffalo Lodge Lake; Buffalo Lodge Lake;",313473,48.331996,-100.756616
"NLA06608-0337",1,"Cranberry Lake; Cranberry;",470521,48.396322,-122.656137
"NLA06608-0339",1,"; ;",337271,46.11454,-99.42216
"NLA06608-0340",1,"; Nichols Reservoir;",447774,35.69029,-105.87904
"NLA06608-0341",1,"Oneida Lake; Oneida Lake;",38705,43.1807,-75.9243
"NLA06608-0343",1,"Alice, Lake; Lake Alice;",NA,44.3817,-96.6357
"NLA06608-0344",1,"Branched Oak; Branched Oak Lake;",362855,40.97048,-96.86155
"NLA06608-0345",1,"; Lake Lanier;",149498,36.65829,-79.84488
"NLA06608-0350",1,"Price Lake; Price Lake;",NA,45.763056,-90.625833
"NLA06608-0354",1,"Haynes Reservoir; Haynes Reservoir;",51959,42.514251,-71.803891
"NLA06608-0356",1,"Number Twelve Lake; Lake Number Twelve;",387042,36.56034,-104.595526
"NLA06608-0357",1,"Buckley Dunton Lake; Buckley-Dunton;",42647,42.312515,-73.132796
"NLA06608-0358",1,"; Little Greenough Pond;",5826,44.84019,-71.13403
"NLA06608-0359",1,"Big Stone Lake; Big Stone Lake;",915,45.40997,-96.66931
"NLA06608-0361",1,"Lake Wylie (Lake Catawba); Lake Wylie;",160915,35.06733,-81.06194
"NLA06608-0363",1,"Long Lake; Palmer Lake;",3582,41.94386,-85.31633
"NLA06608-0366",1,"; Straight Lake;",131667,46.95491,-95.2802
"NLA06608-0367",1,"; La Due Reservoir;",3192,41.39141,-81.19686
"NLA06608-0369",1,"Caspian Lake; Caspian Lake;",5435,44.582663,-72.30475
"NLA06608-0372",1,"Brush Hollow Reservoir; Brush Hollow Reservoir;",375983,38.4596,-105.05207
"NLA06608-0373",1,"Lake Arrowhead; Lake Arrowhead;",483169,34.262786,-117.174264
"NLA06608-0376",1,"; Skiatook Lake;",385057,36.34481,-96.10893
"NLA06608-0377",1,"; Sunbury WS #5;",39561,40.8625,-76.775
"NLA06608-0378",1,"Willow Creek Reservoir; Willow Creek Reservoir;",319208,47.55001,-112.42943
"NLA06608-0384",1,"Willow Lake; Willow Lake;",332262,48.718431,-103.148211
"NLA06608-0385",1,"Green Lake; Green Lake;",318645,48.24471,-112.86538
"NLA06608-0386",1,"Lake Altoona; Lake Altoona;",76883,40.49156,-78.45954
"NLA06608-0388",1,"Cannon Creek Lake; Cannon Creek Lake;",270030,36.682053,-83.705806
"NLA06608-0388",2,"Cannon Creek Lake; Cannon Creek Lake;",270030,36.682053,-83.705806
"NLA06608-0393",1,"Tulloch Reservoir; Tulloch Reservoir;",479679,37.895351,-120.584994
"NLA06608-0395",1,"Lay Lake; Lay Reservoir;",244044,33.12453,-86.46183
"NLA06608-0399",1,"; Hi-Land Lake;",2093,42.43032,-83.98951
"NLA06608-0401",1,"Long Lake; Long Lake;",7585,47.213056,-68.248889
"NLA06608-0402",1,"; Powers Pond;",470105,42.89056,-124.07641
"NLA06608-0402",2,"; Powers Pond;",470105,42.89053,-124.07636
"NLA06608-0405",1,"; Lake Stanmore;",74796,41.97137,-75.87974
"NLA06608-0406",1,"; Clear Lake;",467171,45.17871,-121.70313
"NLA06608-0407",1,"; ;",350730,45.07772,-97.74214
"NLA06608-0408",1,"Mountain Lake; Mountian Lake;",397003,34.368741,-97.281802
"NLA06608-0413",1,"; Rainey Pond;",150408,36.56161,-77.74581
"NLA06608-0414",1,"; ;",421,46.134444,-91.613333
"NLA06608-0418",1,"Grassy Pond; Grassy Pond;",6164,42.76791,-71.994444
"NLA06608-0421",1,"Loughberry Lake; Loughberry Lake;",119265,43.09445,-73.7675
"NLA06608-0425",1,"Koosharem Reservoir; Koosharem Reservoir;",456650,38.59156,-111.84706
"NLA06608-0426",1,"Eight Point Lake; Eight Point Lake;",89673,43.84008,-85.0702
"NLA06608-0432",1,"Arkabutla Lake; Arkabutla Lake;",287042,34.74078,-90.10452
"NLA06608-0433",1,"; Lake Champlain;",211,44.470833,-73.299167
"NLA06608-0435",1,"; Chequamegon Flowage;",4990,45.211944,-90.703056
"NLA06608-0436",1,"Lake Catherine; Lake Catherine;",293295,34.42766,-92.90418
"NLA06608-0439",1,"; ;",350399,45.64327,-99.22991
"NLA06608-0440",1,"Lake Perry; Perry Lake;",380949,36.25204,-97.34126
"NLA06608-0442",1,"; ;",334119,48.28476,-101.90437
"NLA06608-0444",1,"; Enid View Drive Lake;",NA,34.16849,-89.90704
"NLA06608-0445",1,"Belmont Lake; Belmont Lake;",3262,40.04021,-81.01454
"NLA06608-0447",1,"Greenbo Lake; Greenbo Lake;",260126,38.48709,-82.87169
"NLA06608-0449",1,"Jumpoff Joe Lake; Jump-off Joe Lake;",461480,48.137895,-117.687859
"NLA06608-0452",1,"; Jim Baker Reservoir;",361406,39.80586,-105.0361
"NLA06608-0453",1,"Minneola, Lake; Lake Minneola;",189765,28.573675,-81.770156
