CharacteristicName,ResultMeasure.MeasureUnitCode,DetectionQuantitationLimitMeasure.MeasureUnitCode,Method_Id,ResultAnalyticalMethod.MethodName,USGSPCode,Conversion,Conversion_dl,Notes
Aluminum,ug/l,,USEPA 1638,Trace Elements in Water by ICP/MS,,-1000000,-1000000,
Aluminum,ug/l,,USEPA 200.15,Metals in Water by Nebulization and ICP-AES,,1000000,1000000,
Aluminum,ug/l,,USEPA 200.7,Metals in Water by ICP-AES,,1000000,1000000,
Aluminum,ug/l,,USEPA 200.7(W),200.7 W  ~ Metals in Water by ICP-AES,,1000000,1000000,
Aluminum,ug/l,,USEPA 200.7(W),,,1000000,1000000,
Aluminum,ug/l,,USEPA 200.8,Metals in Waters by ICP/MS,,1000000,1000000,
Aluminum,ug/l,,USEPA 200.8(W),200.8 W  ~ Metals in Waters by ICP/MS,,1000000,1000000,
Aluminum,ug/l,,USEPA 202.2,Aluminum by GFAA,,-1000000,-1000000,
Aluminum,ug/l,,USEPA 6010A,6010 A ~ ICP Spectroscopy,,-1000000,-1000000,
Aluminum,ug/l,,USEPA 6010B,6010 B ~ Inductively Coupled Plasma AES,,-1000000,-1000000,
Aluminum,ug/l,,USEPA 6010C,6010 C ~ Inductively Coupled Plasma - Atomic Emission Spectroscopy (ICP-AES),,-1000000,-1000000,
Aluminum,ug/l,,USEPA 6020,Inductively Coupled Plasma - Mass Spec.,,-1000000,-1000000,
Aluminum,ug/l,,USEPA 6020A,6020 A ~ ICP-MS,,-1000000,-1000000,
Aluminum,ug/l,,USGS CX001,"Aluminum, wf, extract and AAS",1106,-1000000,-1000000,
Aluminum,ug/l,,USGS DCP01,"Aluminum, wf, DC plasma",1106,-1000000,-1000000,
Aluminum,ug/l,,USGS DCP02,"Aluminum, wf, DCP-AES",1106,-1000000,-1000000,
Aluminum,ug/l,,USGS E,,4096,1000000,1000000,"Elements, filtered water, ICP/OES (USGS-NYL)"
Aluminum,ug/l,,USGS PL125,"Elements, wf, ICP/OES (USGS-NYL)",1106,-1000000,-1000000,
Aluminum,ug/l,,USGS PL127,"Elements, wf, ICP/OES (USGS-NYL)",1106,-1000000,-1000000,
Aluminum,ug/l,,USGS PLA06,"Trace elements, wf, ICP/T (Ocala",1106,-1000000,-1000000,
Aluminum,ug/l,,USGS PLA13,"Metals, wf, suppliment, ICP-AES",1106,-1000000,-1000000,
Aluminum,ug/l,,USGS PLA18,"Elements, wf, ICP-AES (DODEC)",1106,-1000000,-1000000,
Aluminum,ug/l,,USGS PLM10,"Elements, wf, cICP-MS",1106,-1000000,-1000000,
Aluminum,ug/l,,USGS PLM43,"Metals, wf, ICP-MS",1106,-1000000,-1000000,
Aluminum,ug/l,,UTAHDWQ_WQX GENERIC METHOD,Used for all methods where historical methodology may not be available.,,-1000000,-1000000,
Mercury,mg/kg,mg/kg,AZDEQ_SW EPA 6010B,EPA 6010B,,-1000000,-1000000,units_fail
Mercury,mg/kg,mg/kg,AZDEQ_SW EPA 7471A,EPA 7471A,,-1000000,-1000000,unitsmethods_fail
Mercury,mg/kg,mg/kg,AZDEQ_SW EPA 7473,EPA 7473,,-1000000,-1000000,unitsmethods_fail
Mercury,mg/kg,mg/kg,AZDEQ_SW EPA 7474,EPA 7474,,-1000000,-1000000,unitsmethods_fail
Mercury,mg/kg,,21OHIO_WQX USEPA 245.1,USEPA 245.1,,-1000000,-1000000,units_fail
Mercury,mg/kg,,AZDEQ_SW EPA 7471A,EPA 7471A,,-1000000,-1000000,unitsmethods_fail
Mercury,mg/kg,,KAWNATON_WQX 7471A,Mercury in Solid or Semisolid Waste,,-1000000,-1000000,unitsmethods_fail
Mercury,mg/kg,,USEPA 7471A,7471 A ~ Mercury in Solid or Semisolid Waste,,-1000000,-1000000,unitsmethods_fail
Mercury,mg/l,mg/l,21FLORAN EPA200.7,,,1000000,1000000,EPA 200.7; Determination of Metals and Trace Elements in Water and Wastes by Inductively Coupled Plasma-Atomic Emission Spectrometry
Mercury,mg/l,mg/l,APHA 3112-B,3112 B ~ Mercury in Water by CVAA,,1000000,1000000,APHA 3112-B
Mercury,mg/l,mg/l,AZDEQ_SW EPA 245.1,EPA 245.1,,1000000,1000000,EPA 245.1; Mercury in Water by Cold Vapor Atomic Fluorescence Spectrometry
Mercury,mg/l,mg/l,AZDEQ_SW EPA 245.7,EPA 245.7,,1000000,1000000,EPA 245.7; Mercury in Water by Cold Vapor Atomic Fluorescence Spectrometry
Mercury,mg/l,mg/l,AZDEQ_SW SW846,SW846,,1000000,1000000,methods_unknown
Mercury,mg/l,mg/l,CHEROKEE_WQX CN_QAPP,CN_QAPP,,1000000,1000000,methods_WQX
Mercury,mg/l,mg/l,USEPA 200.7(W),,,1000000,1000000,EPA 200.7; Determination of Metals and Trace Elements in Water and Wastes by Inductively Coupled Plasma-Atomic Emission Spectrometry
Mercury,mg/l,mg/l,USEPA 245.1,,,1000000,1000000,EPA 245.1; Mercury in Water by Cold Vapor Atomic Fluorescence Spectrometry
Mercury,mg/l,mg/l,USEPA 245.2,,,1000000,1000000,EPA 245.2; Mercury in Water by Cold Vapor Atomic Fluorescence Spectrometry
Mercury,mg/l,mg/l,USEPA 7470A,7470 A ~ Mercury in Liquid Wastes by CVAA,,1000000,1000000,EPA 7470 A
Mercury,mg/l,,21ARIZ_WQX EPA 245.1,TOTAL MERCURY,,1000000,1000000,EPA 245.1; Mercury in Water by Cold Vapor Atomic Fluorescence Spectrometry
Mercury,mg/l,,21ARIZ_WQX EPA 245.7,MERCURY IN WATER BY COLD VAPOR ATOMIC FLOURESCENCE SPECTROM,,1000000,1000000,EPA 245.7; Mercury in Water by Cold Vapor Atomic Fluorescence Spectrometry
Mercury,mg/l,,KAWNATON_WQX 245.1,Mercury in Water by CVAA,,1000000,1000000,EPA 245.1; Mercury in Water by Cold Vapor Atomic Fluorescence Spectrometry
Mercury,mg/l,,NA NA,,,1000000,1000000,methods_unknown
Mercury,mg/l,,USEPA 245.1,Mercury in Water by CVAA,,1000000,1000000,EPA 245.1; Mercury in Water by Cold Vapor Atomic Fluorescence Spectrometry
Mercury,mg/l,,USEPA 245.1,,,1000000,1000000,EPA 245.1; Mercury in Water by Cold Vapor Atomic Fluorescence Spectrometry
Mercury,mg/l,,USEPA 7470A,7470 A ~ Mercury in Liquid Wastes by CVAA,,1000000,1000000,EPA 7470 A
Mercury,mg/l,,USEPA 7471A,7471 A ~ Mercury in Solid or Semisolid Waste,,-1000000,-1000000,methods_fail
Mercury,ng/g,ng/g,AZDEQ_SW EPA 1631,EPA 1631,,-1000000,-1000000,units_fail
Mercury,ng/g,ng/g,AZDEQ_SW EPA 1631 APP,EPA 1631 APP,,-1000000,-1000000,units_fail
Mercury,ng/g,ng/g,AZDEQ_SW EPA 1631E,EPA 1631E,,-1000000,-1000000,units_fail
Mercury,ng/l,ng/l,21ARIZ EPA 1631E,,,1,1,"EPA 1631 E; Mercury in Water by Oxidation, Purge and Trap, and CVAFS"
Mercury,ng/l,ng/l,APHA 3500-HG(B),3500 HG B  ~ Mercury in Water by CVAA,,1,1,APHA 3500-HG(B)
Mercury,ng/l,ng/l,AZDEQ_SW EPA 1631,EPA 1631,,1,1,"EPA 1631; Mercury in Water by Oxidation, Purge and Trap, and CVAFS"
Mercury,ng/l,ng/l,AZDEQ_SW EPA 1631E,EPA 1631E,,1,1,"EPA 1631 E; Mercury in Water by Oxidation, Purge and Trap, and CVAFS"
Mercury,ng/l,ng/l,CEDEN 81,EPA 1631E,,1,1,"EPA 1631 E; Mercury in Water by Oxidation, Purge and Trap, and CVAFS"
Mercury,ng/l,ng/l,NA NA,,50286,1,1,"USGS_50286; Mercury, water, unfiltered, nanograms per liter"
Mercury,ng/l,ng/l,USEPA 1631,"Mercury in Water by Oxidation, Purge and Trap, and CVAFS",,1,1,"EPA 1631; Mercury in Water by Oxidation, Purge and Trap, and CVAFS"
Mercury,ng/l,ng/l,USEPA 1631,,,1,1,"EPA 1631; Mercury in Water by Oxidation, Purge and Trap, and CVAFS"
Mercury,ng/l,ng/l,USEPA 1631E,"1631E ~ Mercury in Water by Oxidation, Purge and Trap, and CVAFS",,1,1,"EPA 1631 E; Mercury in Water by Oxidation, Purge and Trap, and CVAFS"
Mercury,ng/l,ng/l,USEPA 245.7,Mercury in water by cold-vapor atomic fluorescence spectrometry,,1,1,EPA 245.7; Mercury in Water by Cold Vapor Atomic Fluorescence Spectrometry
Mercury,ng/l,ng/l,USEPA 7470A,7470 A ~ Mercury in Liquid Wastes by CVAA,,1,1,EPA 7470 A
Mercury,ng/l,ng/l,USGS CV004,"Mercury, w, oxidation P&T CVAFS",50286,1,1,"USGS_50286; Mercury, water, unfiltered, nanograms per liter"
Mercury,ng/l,ng/l,USGS CV023,"Mercury, water, CVAFD,dichromate",50286,1,1,"USGS_50286; Mercury, water, unfiltered, nanograms per liter"
Mercury,ng/l,ng/l,USGS CV031,"Mercury, w, P&T,CV-AFS(WI-TALWT)",50286,1,1,"USGS_50286; Mercury, water, unfiltered, nanograms per liter"
Mercury,ng/l,,21ARIZ_WQX EPA 1631,"MERCURY IN WATER BY OXIDATION, PURGE AND TRAP, AND CVAFS",,1,1,EPA 3631
Mercury,ng/l,,21ARIZ_WQX EPA 1631E,MERCURY - TOTAL & DISSOLVED - CLEAN HANDS,,1,1,"EPA 1631 E; Mercury in Water by Oxidation, Purge and Trap, and CVAFS"
Mercury,ng/l,,21MICH MDEQ-EPA,,,1,1,methods_unknown
Mercury,ng/l,,AZDEQ_SW EPA 1631,EPA 1631,,1,1,"EPA 1631; Mercury in Water by Oxidation, Purge and Trap, and CVAFS"
Mercury,ng/l,,CEDEN 116,EPA 1631EM,,1,1,"EPA 1631 E; Mercury in Water by Oxidation, Purge and Trap, and CVAFS"
Mercury,ng/l,,CEDEN 81,EPA 1631E,,1,1,"EPA 1631 E; Mercury in Water by Oxidation, Purge and Trap, and CVAFS"
Mercury,ng/l,,NA NA,,50286,1,1,"USGS_50286; Mercury, water, unfiltered, nanograms per liter"
Mercury,ng/l,,USEPA 1631,"Mercury in Water by Oxidation, Purge and Trap, and CVAFS",,1,1,"EPA 1631; Mercury in Water by Oxidation, Purge and Trap, and CVAFS"
